"","symbol","recommend","url","year","month","day"
"1","PNG",TRUE,"http://finance.yahoo.com/q?s=PNG","2010","07","12"
"2","VZ",TRUE,"http://finance.yahoo.com/q?s=VZ","2010","07","12"
"3","JPM",TRUE,"http://finance.yahoo.com/q?s=JPM","2010","07","12"
"4","EMC",TRUE,"http://finance.yahoo.com/q?s=EMC","2010","07","12"
"5","M",TRUE,"http://finance.yahoo.com/q?s=M","2010","07","12"
"6","RFMD",TRUE,"http://finance.yahoo.com/q/pr?s=RFMD","2010","07","12"
"7","TQNT",TRUE,"http://finance.yahoo.com/q?s=TQNT","2010","07","12"
"8","SWKS",TRUE,"http://finance.yahoo.com/q/pr?s=SWKS","2010","07","12"
"9","SNDK",TRUE,"http://finance.yahoo.com/q?s=SNDK","2010","07","12"
"10","UPS",TRUE,"http://finance.yahoo.com/q?s=UPS","2010","07","12"
"11","GOOG",TRUE,"http://finance.yahoo.com/q?s=GOOG","2010","07","12"
"12","BRK-B",TRUE,"http://finance.yahoo.com/q/pr?s=BRK-B","2010","07","13"
"13","NVDA",TRUE,"http://finance.yahoo.com/q/pr?s=NVDA","2010","07","13"
"14","JBL",TRUE,"http://finance.yahoo.com/q/pr?s=JBL","2010","07","13"
"15","WHR",TRUE,"http://finance.yahoo.com/q/pr?s=WHR","2010","07","13"
"16","AGNC",FALSE,"http://finance.yahoo.com/q/pr?s=AGNC","2010","07","13"
"17","NUE",TRUE,"http://finance.yahoo.com/q/pr?s=NUE","2010","07","13"
"18","EBIX",FALSE,"http://finance.yahoo.com/q/pr?s=EBIX","2010","07","13"
"19","CRM",TRUE,"http://finance.yahoo.com/q/pr?s=CRM","2010","07","13"
"20","EXC",TRUE,"http://finance.yahoo.com/q/pr?s=EXC","2010","07","13"
"21","AMT",TRUE,"http://finance.yahoo.com/q?s=AMT","2010","07","13"
"22","QLIK",TRUE,"http://finance.yahoo.com/q?s=QLIK","2010","07","13"
"23","RRC",TRUE,"http://finance.yahoo.com/q?s=RRC","2010","07","14"
"24","BA",TRUE,"http://finance.yahoo.com/q?s=BA","2010","07","14"
"25","GR",TRUE,"http://finance.yahoo.com/q/pr?s=GR","2010","07","14"
"26","COL",TRUE,"http://finance.yahoo.com/q/pr?s=COL","2010","07","14"
"27","PCP",TRUE,"http://finance.yahoo.com/q?s=PCP","2010","07","14"
"28","SPR",TRUE,"http://finance.yahoo.com/q/pr?s=SPR","2010","07","14"
"29","HXL",TRUE,"http://finance.yahoo.com/q/pr?s=HXL","2010","07","14"
"30","TXT",TRUE,"http://finance.yahoo.com/q?s=TXT","2010","07","14"
"31","HON",TRUE,"http://finance.yahoo.com/q?s=HON","2010","07","14"
"32","KSU",TRUE,"http://finance.yahoo.com/q/pr?s=KSU","2010","07","14"
"33","C",TRUE,"http://finance.yahoo.com/q?s=C","2010","07","14"
"34","BP",FALSE,"http://finance.yahoo.com/q/pr?s=BP","2010","07","14"
"35","TOT",TRUE,"http://finance.yahoo.com/q?s=TOT","2010","07","14"
"36","RDS-A",TRUE,"http://finance.yahoo.com/q?s=RDS-A","2010","07","14"
"37","RIMM",FALSE,"http://finance.yahoo.com/q?s=RIMM","2010","07","14"
"38","IBM",TRUE,"http://finance.yahoo.com/q?s=IBM","2010","07","14"
"39","FTR",FALSE,"http://finance.yahoo.com/q?s=FTR","2010","07","14"
"40","WIN",TRUE,"http://finance.yahoo.com/q?s=WIN","2010","07","14"
"41","VOD",TRUE,"http://finance.yahoo.com/q?s=VOD","2010","07","14"
"42","VZ",TRUE,"http://finance.yahoo.com/q?s=VZ","2010","07","14"
"43","XOM",FALSE,"http://finance.yahoo.com/q?s=XOM","2010","07","14"
"44","SD",TRUE,"http://finance.yahoo.com/q/pr?s=SD","2010","07","15"
"45","ABT",TRUE,"http://finance.yahoo.com/q?s=ABT","2010","07","15"
"46","NFLX",TRUE,"http://finance.yahoo.com/q/pr?s=NFLX","2010","07","15"
"47","CMG",TRUE,"http://finance.yahoo.com/q?s=CMG","2010","07","15"
"48","AAPL",TRUE,"http://finance.yahoo.com/q?s=AAPL","2010","07","15"
"49","DECK",TRUE,"http://finance.yahoo.com/q/pr?s=DECK","2010","07","15"
"50","ISRG",TRUE,"http://finance.yahoo.com/q?s=ISRG","2010","07","15"
"51","ESRX",TRUE,"http://finance.yahoo.com/q?s=ESRX","2010","07","15"
