Id,latitude,longitude,descRegion,descCountry,descAdmin1,descLocality,descQuality,observationDate,obsdate_amer,reportDate,status,descDisease,descDiseaseType,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,sumVaccinated
159119,31.2246,30.4852,Africa,Egypt,Al Buhayrah (behera),Al Mahmodya,Unknown,17/02/2006,17-Feb-2006,18/02/2006,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",10000,200,200,9800,0,
159124,30.0373,31.1367,Africa,Egypt,Al Jizah (giza),Faysal and Saftalabn,Unknown,17/02/2006,17-Feb-2006,18/02/2006,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",1000,10,10,950,0,
159125,30.2304,30.9726,Africa,Egypt,Al Jizah (giza),Alharam,Unknown,17/02/2006,17-Feb-2006,18/02/2006,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",5000,19,19,4500,0,
159127,29.9311,31.185,Africa,Egypt,Al Jizah (giza),Dokki and Agoza,Unknown,17/02/2006,17-Feb-2006,18/02/2006,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",300,9,9,100,0,
159131,28.84674,29.540062,Africa,Egypt,Al Jizah (giza),Mattay,Unknown,17/02/2006,17-Feb-2006,18/02/2006,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",3,3,3,0,0,
159136,28.84674,29.540062,Africa,Egypt,Al Jizah (giza),Hay Shamal,Unknown,17/02/2006,17-Feb-2006,18/02/2006,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",500,10,3,150,,
159140,28.84674,29.540062,Africa,Egypt,Al Jizah (giza),Shbeen Al Kanater,Unknown,17/02/2006,17-Feb-2006,18/02/2006,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",7000,1000,1000,6000,0,
159141,28.84674,29.540062,Africa,Egypt,Al Jizah (giza),Nama,Unknown,17/02/2006,17-Feb-2006,18/02/2006,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",5000,4,4,3000,0,
159142,28.84674,29.540062,Africa,Egypt,Al Jizah (giza),Qalama,Unknown,17/02/2006,17-Feb-2006,18/02/2006,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",3000,1,1,2500,0,
159151,28.84674,29.540062,Africa,Egypt,Al Jizah (giza),Al Tabaykha,Unknown,17/02/2006,17-Feb-2006,18/02/2006,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",10000,13,13,9987,0,
159116,30.6116,31.296,Africa,Egypt,Al Daqahliyah (dakahlia),Meet Al Korashy,Unknown,18/02/2006,18-Feb-2006,18/02/2006,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",100000,1000,1000,99000,0,
159117,30.6889,31.296,Africa,Egypt,Al Daqahliyah (dakahlia),Met Al Korashy,Unknown,18/02/2006,18-Feb-2006,18/02/2006,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",60000,4000,4000,56000,0,
